target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
crossover,budde-iterative,48000,129,1024,16,0,26,-26,-1.96752424e-15,-2.25966372e-14
crossover,budde-iterative,48000,129,1024,16,1,26,-25,5.11936803e-15,5.87949564e-14
crossover,budde-iterative,48000,129,1024,16,2,26,-24,1.26176801e-14,1.44911627e-13
crossover,budde-iterative,48000,129,1024,16,3,26,-23,2.64575198e-14,3.03859523e-13
crossover,budde-iterative,48000,129,1024,16,4,26,-22,4.35641026e-14,5.00325333e-13
crossover,budde-iterative,48000,129,1024,16,5,26,-21,5.27029319e-14,6.05283028e-13
crossover,budde-iterative,48000,129,1024,16,6,26,-20,8.06309473e-14,9.2603091e-13
crossover,budde-iterative,48000,129,1024,16,7,26,-19,6.67195809e-14,7.66261544e-13
crossover,budde-iterative,48000,129,1024,16,8,26,-18,1.19623524e-13,1.37385315e-12
crossover,budde-iterative,48000,129,1024,16,9,26,-17,4.91450047e-14,5.64420919e-13
crossover,budde-iterative,48000,129,1024,16,10,26,-16,1.75571693e-13,2.01640709e-12
crossover,budde-iterative,48000,129,1024,16,11,26,-15,-3.68287814e-14,-4.22971465e-13
crossover,budde-iterative,48000,129,1024,16,12,26,-14,3.11531366e-13,3.57787777e-12
crossover,budde-iterative,48000,129,1024,16,13,26,-13,-2.76086373e-13,-3.17079885e-12
crossover,budde-iterative,48000,129,1024,16,14,26,-12,4.67580527e-13,5.37007235e-12
crossover,budde-iterative,48000,129,1024,16,15,26,-11,-1.12876187e-13,-1.29636128e-12
crossover,budde-iterative,48000,129,1024,16,16,26,-10,0.00182236313,0.0209294897
crossover,budde-iterative,48000,129,1024,16,17,26,-9,0.00726271495,0.0834108833
crossover,budde-iterative,48000,129,1024,16,18,26,-8,0.0164652014,0.189099669
crossover,budde-iterative,48000,129,1024,16,19,26,-7,0.0285122508,0.327457712
crossover,budde-iterative,48000,129,1024,16,20,26,-6,0.0419758131,0.482084134
crossover,budde-iterative,48000,129,1024,16,21,26,-5,0.0553643271,0.63584864
crossover,budde-iterative,48000,129,1024,16,22,26,-4,0.0673588819,0.773603793
crossover,budde-iterative,48000,129,1024,16,23,26,-3,0.0769711524,0.883998869
crossover,budde-iterative,48000,129,1024,16,24,26,-2,0.0835793626,0.959892892
crossover,budde-iterative,48000,129,1024,16,25,26,-1,0.0869285496,0.998357659
crossover,budde-iterative,48000,129,1024,16,26,26,0,0.0870715507,1
crossover,budde-iterative,48000,129,1024,16,27,26,1,0.0843073788,0.968254017
crossover,budde-iterative,48000,129,1024,16,28,26,2,0.079098848,0.908435044
crossover,budde-iterative,48000,129,1024,16,29,26,3,0.0720059421,0.826974384
crossover,budde-iterative,48000,129,1024,16,30,26,4,0.0636178795,0.7306391
crossover,budde-iterative,48000,129,1024,16,31,26,5,0.0545069927,0.626002319
crossover,budde-iterative,48000,129,1024,16,32,26,6,0.0451880231,0.518975747
crossover,budde-iterative,48000,129,1024,16,33,26,7,0.0360976496,0.414574557
crossover,budde-iterative,48000,129,1024,16,34,26,8,0.0275791764,0.316741532
crossover,budde-iterative,48000,129,1024,16,35,26,9,0.019882457,0.228346192
crossover,budde-iterative,48000,129,1024,16,36,26,10,0.0131659574,0.151208487
crossover,budde-iterative,48000,129,1024,16,37,26,11,0.00750854985,0.0862342497
crossover,budde-iterative,48000,129,1024,16,38,26,12,0.00292020063,0.0335379422
crossover,budde-iterative,48000,129,1024,16,39,26,13,-0.000642085145,-0.0073742243
crossover,budde-iterative,48000,129,1024,16,40,26,14,-0.00326172499,-0.0374602837
crossover,budde-iterative,48000,129,1024,16,41,26,15,-0.00504770416,-0.0579719106
crossover,budde-iterative,48000,129,1024,16,42,26,16,-0.00612421246,-0.0703354013
crossover,budde-iterative,48000,129,1024,16,43,26,17,-0.00661949461,-0.0760236215
crossover,budde-iterative,48000,129,1024,16,44,26,18,-0.00665927376,-0.0764804773
crossover,budde-iterative,48000,129,1024,16,45,26,19,-0.00635990093,-0.073042238
crossover,budde-iterative,48000,129,1024,16,46,26,20,-0.00582553225,-0.0669051165
crossover,budde-iterative,48000,129,1024,16,47,26,21,-0.00514495933,-0.0590888676
crossover,budde-iterative,48000,129,1024,16,48,26,22,-0.00439165452,-0.0504373068
crossover,budde-iterative,48000,129,1024,16,49,26,23,-0.0036231603,-0.0416112987
crossover,budde-iterative,48000,129,1024,16,50,26,24,-0.00288287238,-0.0331092344
crossover,budde-iterative,48000,129,1024,16,51,26,25,-0.00220084741,-0.0252763089
crossover,budde-iterative,48000,129,1024,16,52,26,26,-0.00159631982,-0.0183334258
crossover,budde-iterative,48000,129,1024,16,53,26,27,-0.00107902554,-0.0123924007
crossover,budde-iterative,48000,129,1024,16,54,26,28,-0.000651737898,-0.0074850843
crossover,budde-iterative,48000,129,1024,16,55,26,29,-0.000311524593,-0.00357779998
crossover,budde-iterative,48000,129,1024,16,56,26,30,-5.18976016e-05,-0.000596033964
crossover,budde-iterative,48000,129,1024,16,57,26,31,0.000136287308,0.0015652335
crossover,budde-iterative,48000,129,1024,16,58,26,32,0.000263219555,0.00302302592
crossover,budde-iterative,48000,129,1024,16,59,26,33,0.000339667942,0.00390102093
crossover,budde-iterative,48000,129,1024,16,60,26,34,0.000375893941,0.00431706955
crossover,budde-iterative,48000,129,1024,16,61,26,35,0.000381567365,0.00438222774
crossover,budde-iterative,48000,129,1024,16,62,26,36,0.000365102191,0.00419312839
crossover,budde-iterative,48000,129,1024,16,63,26,37,0.000333844921,0.00383414466
crossover,budde-iterative,48000,129,1024,16,64,26,38,0.000293704373,0.00337313819
crossover,budde-iterative,48000,129,1024,16,65,26,39,0.000249496662,0.00286542114
crossover,budde-iterative,48000,129,1024,16,66,26,40,0.000204750916,0.00235152485
crossover,budde-iterative,48000,129,1024,16,67,26,41,0.000162114639,0.00186185542
crossover,budde-iterative,48000,129,1024,16,68,26,42,0.000123245321,0.00141544879
crossover,budde-iterative,48000,129,1024,16,69,26,43,8.92098031e-05,0.00102455742
crossover,budde-iterative,48000,129,1024,16,70,26,44,6.04033139e-05,0.000693720433
crossover,budde-iterative,48000,129,1024,16,71,26,45,3.69054489e-05,0.000423851977
crossover,budde-iterative,48000,129,1024,16,72,26,46,1.83953873e-05,0.000211267482
crossover,budde-iterative,48000,129,1024,16,73,26,47,4.44977993e-06,5.1104866e-05
crossover,budde-iterative,48000,129,1024,16,74,26,48,-5.55748677e-06,-6.38266658e-05
crossover,budde-iterative,48000,129,1024,16,75,26,49,-1.2215279e-05,-0.000140290128
crossover,budde-iterative,48000,129,1024,16,76,26,50,-1.61906387e-05,-0.000185946369
crossover,budde-iterative,48000,129,1024,16,77,26,51,-1.80385122e-05,-0.00020716884
crossover,budde-iterative,48000,129,1024,16,78,26,52,-1.83264262e-05,-0.000210475478
crossover,budde-iterative,48000,129,1024,16,79,26,53,-1.74830575e-05,-0.00020078955
crossover,budde-iterative,48000,129,1024,16,80,26,54,-1.59248095e-05,-0.000182893372
crossover,budde-iterative,48000,129,1024,16,81,26,55,-1.39327589e-05,-0.000160015055
crossover,budde-iterative,48000,129,1024,16,82,26,56,-1.17747542e-05,-0.000135230786
crossover,budde-iterative,48000,129,1024,16,83,26,57,-9.60227273e-06,-0.000110280254
crossover,budde-iterative,48000,129,1024,16,84,26,58,-7.56362284e-06,-8.68667525e-05
crossover,budde-iterative,48000,129,1024,16,85,26,59,-5.71466403e-06,-6.56318164e-05
crossover,budde-iterative,48000,129,1024,16,86,26,60,-4.12074074e-06,-4.73259142e-05
crossover,budde-iterative,48000,129,1024,16,87,26,61,-2.77739701e-06,-3.189787e-05
crossover,budde-iterative,48000,129,1024,16,88,26,62,-1.70033682e-06,-1.95280411e-05
crossover,budde-iterative,48000,129,1024,16,89,26,63,-8.53918801e-07,-9.80709306e-06
crossover,budde-iterative,48000,129,1024,16,90,26,64,-2.29569083e-07,-2.63655673e-06
crossover,budde-iterative,48000,129,1024,16,91,26,65,2.19071472e-07,2.51599368e-06
crossover,budde-iterative,48000,129,1024,16,92,26,66,5.08227971e-07,5.83690042e-06
crossover,budde-iterative,48000,129,1024,16,93,26,67,6.82710589e-07,7.84079971e-06
crossover,budde-iterative,48000,129,1024,16,94,26,68,7.5719379e-07,8.69622493e-06
crossover,budde-iterative,48000,129,1024,16,95,26,69,7.69052726e-07,8.83242252e-06
crossover,budde-iterative,48000,129,1024,16,96,26,70,7.27555476e-07,8.3558346e-06
crossover,budde-iterative,48000,129,1024,16,97,26,71,6.61007701e-07,7.59154621e-06
crossover,budde-iterative,48000,129,1024,16,98,26,72,5.72714427e-07,6.57751495e-06
