target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,frequency_hz,target_magnitude_db,magnitude_db,group_delay_samples,delay_weight
parametric-eq,budde-iterative,48000,129,1024,16,0,3.85730987e-15,-0.00375072786,15.4099576,0
parametric-eq,budde-iterative,48000,129,1024,16,46.875,-5.43410295e-07,-0.00322659363,15.4146488,0
parametric-eq,budde-iterative,48000,129,1024,16,93.75,-1.85412125e-06,-0.00179035123,15.4274619,0
parametric-eq,budde-iterative,48000,129,1024,16,140.625,-3.15814005e-06,0.000180557232,15.4448703,0
parametric-eq,budde-iterative,48000,129,1024,16,187.5,-3.67615948e-06,0.00215531555,15.4618178,0
parametric-eq,budde-iterative,48000,129,1024,16,234.375,-3.08160572e-06,0.00357888935,15.4728456,0
parametric-eq,budde-iterative,48000,129,1024,16,281.25,-1.70319478e-06,0.00401694228,15.4734322,0
parametric-eq,budde-iterative,48000,129,1024,16,328.125,-3.48502546e-07,0.00328349011,15.4612794,0
parametric-eq,budde-iterative,48000,129,1024,16,375,1.60136208e-07,0.00151604183,15.4372066,0
parametric-eq,budde-iterative,48000,129,1024,16,421.875,-5.23627377e-07,-0.000830718788,15.4053201,0
parametric-eq,budde-iterative,48000,129,1024,16,468.75,-2.04025109e-06,-0.00308492821,15.3722374,0
parametric-eq,budde-iterative,48000,129,1024,16,515.625,-3.50416827e-06,-0.00453758539,15.3453908,0
parametric-eq,budde-iterative,48000,129,1024,16,562.5,-4.00961963e-06,-0.00465999015,15.3307647,0
parametric-eq,budde-iterative,48000,129,1024,16,609.375,-3.18067592e-06,-0.0032939854,15.330726,0
parametric-eq,budde-iterative,48000,129,1024,16,656.25,-1.43814884e-06,-0.000746849533,15.3427268,0
parametric-eq,budde-iterative,48000,129,1024,16,703.125,1.98947445e-07,0.00225596466,15.3594923,0
parametric-eq,budde-iterative,48000,129,1024,16,750,6.94377398e-07,0.00476417136,15.3708461,0
parametric-eq,budde-iterative,48000,129,1024,16,796.875,-3.63516966e-07,0.00589524929,15.3667556,0
parametric-eq,budde-iterative,48000,129,1024,16,843.75,-2.44755019e-06,0.0051391364,15.3407014,0
parametric-eq,budde-iterative,48000,129,1024,16,890.625,-4.33090881e-06,0.0025729669,15.2922692,0
parametric-eq,budde-iterative,48000,129,1024,16,937.5,-4.78850591e-06,-0.0010988736,15.2279849,0
parametric-eq,budde-iterative,48000,129,1024,16,984.375,-3.37310619e-06,-0.00471654495,15.1598473,0
parametric-eq,budde-iterative,48000,129,1024,16,1031.25,-7.87992184e-07,-0.00701774679,15.1017064,0
parametric-eq,budde-iterative,48000,129,1024,16,1078.125,1.42686665e-06,-0.007071447,15.0644455,0
